"","name","img","condicion","bancada","partido","circuncripcion","representante_de","estado","suplente","estado_legal_principal","estado_legal_suplente"
"136","Earle Jose Herrera Silva","http://www.asambleanacional.gob.ve/avatares/earle-jose-herrera-silva-178.jpg","Principal","PSUV","","lista","undefined","Anzoátegui","Angel Luis Rodriguez Gamboa","",""
"137","Roque Valero Pérez","http://www.asambleanacional.gob.ve/avatares/roque-valero-perez-35.jpg","Principal","PSUV","","lista","undefined","Aragua","Didalco Antonio Bolívar Graterol","",""
"138","Roger Rafael Cordero Lara","http://www.asambleanacional.gob.ve/avatares/roger-rafael-cordero-lara-146.jpg","Principal","PSUV","","3","Mp. El Socorro, Mp. Infante, Mp. Las Mercedes, Mp. S Maria De Ipire","Guárico","Rafael Morales Frang","",""
"139","Pedro Rafael Santaella Hernandez","http://www.asambleanacional.gob.ve/avatares/pedro-rafael-santaella-hernandez-49.jpg","Principal","PSUV","","2","Mp. Antonio Diaz, Mp. Casacoima","Delta Amacuro","undefined","",""
"140","Elio Jose Serrano Carpio","http://www.asambleanacional.gob.ve/avatares/elio-jose-serrano-carpio-117.jpg","Principal","PSUV","","7","Mp. Independencia, Mp. Paz Castillo","Miranda","Oriana Lucia Osio Noblott","",""
"141","Pedro Miguel Carreno Escobar","http://www.asambleanacional.gob.ve/avatares/pedro-miguel-carrenacuteo-escobar-48.jpg","Principal","PSUV","","lista","undefined","Delta Amacuro","undefined","",""
"142","Pedro Maria Eusse Montalvo","http://www.asambleanacional.gob.ve/avatares/pedro-maria-eusse-montalvo-307.jpg","Principal","PSUV","","4","Mp. Araure, Mp. Ospino","Portuguesa","undefined","",""
"143","Erick José Mago Rodríguez","http://www.asambleanacional.gob.ve/avatares/erick-jose-mago-rodriguez-136.jpg","Principal","PSUV","","1","Mp. Andres E Blanco, Mp. Andres Mata, Mp. Bermudez, Mp. Cruz S Acosta, Mp. Ribero","Sucre","undefined","",""
"144","Oscar Ramon Figuera Gonzalez","http://www.asambleanacional.gob.ve/avatares/oscar-ramon-figuera-gonzalez-147.jpg","Principal","PSUV","","lista","undefined","Guárico","Carola Martinez De Rodriguez","",""
"145","Orlando Zambrano Hector","http://www.asambleanacional.gob.ve/avatares/orlando-zambrano-hector-281.jpg","Principal","PSUV","","3","Ce. San Fernando","Apure","Mayrut Desiree Castillo Morillo","",""
"146","Eustoquio Contreras Diaz","http://www.asambleanacional.gob.ve/avatares/eustoquio-contreras-diaz-144.jpg","Principal","PSUV","","1","Mp. Roscio, Mp. Camaguan, Mp. Mellado, Mp. Miranda, Mp. Ortiz, Mp.san Geronimo De G","Guárico","Yosneisy Josefina Paredes Fajardo","",""
"147","Fernando Enrique Orozco Cassiani","http://www.asambleanacional.gob.ve/avatares/fernando-enrique-orozco-cassiani-442.jpg","Principal","PSUV","","lista","undefined","Trujillo","undefined","",""
"148","Germán Darío Ferrer","http://www.asambleanacional.gob.ve/avatares/german-dario-ferrer-97.jpg","Principal","PSUV","","2","Mp. Andres E Blanco, Mp. Crespo, Mp. Jimenez, Mp. Moran, Mp. Torres, Mp. Urdaneta","Lara","Andres Avelino Alvarez Segovia","",""
"149","Haiman El Troudi Douwara","http://www.asambleanacional.gob.ve/avatares/haiman-el-troudi-douwara-118.jpg","Principal","PSUV","","lista","undefined","Miranda","Erika Elena Ortega Sanoja","",""
"150","Haydee Huerfano Castro","http://www.asambleanacional.gob.ve/avatares/haydee-huerfano-castro-271.jpg","Principal","PSUV","","3","Mp. San Felipe, Mp. Manuel Monge, Mp. Nirgua, Mp. Veroes","Yaracuy","Robert José González","",""
"151","Hector Aguero","http://www.asambleanacional.gob.ve/avatares/hector-aguero-78.jpg","Principal","PSUV","","4","Carlos Arvelo Y Los Guayos","Carabobo","Ediht Ofelia Francisco Yepez","",""
"152","Nosliw Andreina Rodriguez Franco","http://www.asambleanacional.gob.ve/avatares/nosliw-andreina-rodriguez-franco-155.jpg","Principal","PSUV","","2","Mp. Girardot, Mp. Lima Blanco, Mp. Pao S J Bautista, Mp. Tinaco, Mp. Tinaquillo","Cojedes","Edgar De Jesús Lucena González","",""
"153","Hugo Armando Carvajal Barrios","http://www.asambleanacional.gob.ve/avatares/hugo-armando-carvajal-barrios-260.jpg","Principal","PSUV","","2","Mp. Acosta, Mp. Aguasay, Mp. Bolivar, Mp. Caripe, Mp. Cede#o, Mp. Ezequiel Zamora, Mp. Piar, Mp. Pun","Monagas","Williams Jose Benavides Rondon","",""
"154","Naybeth Berrios","http://www.asambleanacional.gob.ve/avatares/naybeth-berrios-427.jpg","Principal","PSUV","","lista","undefined","Barinas","undefined","",""
"155","Jaime Ramon Rengifo Blanco","http://www.asambleanacional.gob.ve/avatares/jaime-ramon-rengifo-blanco-126.jpg","Principal","PSUV","","6","Cristobal Rojas, Mp. Lander, Mp. Simon Bolivar, Mp. Urdaneta","Miranda","undefined","",""
"156","Mariana Dayan Lerin Simon","http://www.asambleanacional.gob.ve/avatares/mariana-dayan-lerin-simon-301.jpg","Principal","PSUV","","1","Guanare, Mp. M.jose V De Unda, Mp. Sucre, Mp.genaro Boconoito","Portuguesa","Maria Mercedes Torrealba","",""
"157","Marcos Del Jesús Padovani Figueroa","http://www.asambleanacional.gob.ve/avatares/marcos-del-jesus-padovani-figueroa-137.jpg","Principal","PSUV","","2","Mp. Arismendi, Mp. Benitez, Mp. Cajigal, Mp. Libertador, Mp. Mari#o, Mp. Valdez","Sucre","undefined","",""
